,Data,Temperatura_C,Umidade_%,Pressao_hPa,Velocidade_Vento_mps,Radicacao_Solar_Wm2,Indice_UV,Visibilidade_km,Precipitacao_mm
0,2023-01-01,25.496714153011233,57.64333343368975,1022.3721022779358,4.200937824058126,973.9926636797882,27.68387969701414,9.33999795947545,2.51665089513283
1,2023-01-02,25.03410535987071,55.52620176483458,1020.0616351353825,5.265560265249349,1037.9323728412783,29.0340462429624,9.140929346617265,1.0334245900991559
2,2023-01-03,25.992376643112696,57.8203171898726,1022.3796664783617,6.0810924326458276,1010.1126680564199,28.424640265044196,8.130273544904007,5.6985611453078615
3,2023-01-04,27.039933986464973,53.07486579829183,1021.4109392875209,4.421793823714984,1037.5892708738745,28.33895857607642,5.376393583258368,3.9681434438656606
4,2023-01-05,25.45481319003224,59.33090467963517,1021.4753970574002,5.232646396756313,1013.6838880230634,28.348359501596864,5.5619851358800645,0.8840137150443941
5,2023-01-06,25.626687326374658,58.13185130163876,1023.8651630067536,4.841173767766463,1025.145766348827,28.684985475003874,5.246544935549124,0.0
6,2023-01-07,27.611639036313406,56.70623995047105,1026.623300719597,5.419428847257721,1046.4213285701703,28.93201580485738,6.2873960824623465,0.9451630271502829
7,2023-01-08,26.97115611740083,58.479803909190615,1023.8806898948662,5.25031816635746,1050.1587815065427,27.95993680094531,5.678307335801889,2.7776584569623632
8,2023-01-09,25.905184501912565,60.378356637968864,1020.3797892265034,4.954188323047347,1097.0095929163606,30.020436670313952,6.300240201262169,2.7088563373186765
9,2023-01-10,27.08774797166437,58.48486614420408,1024.0155297279396,5.552973728051218,1091.0274437140483,30.926814393979587,6.925290278594808,4.379941258037175
10,2023-01-11,26.25184014596935,53.19233146435203,1025.268815017082,6.245225622649733,1068.4945325442318,29.189871016506142,9.714913920355677,3.7042874005709
11,2023-01-12,26.41908833265218,54.23130190020251,1021.7061606911569,5.281511721380838,1005.60479035185,27.74805725810934,8.051880298908461,4.01341155171016
12,2023-01-13,27.295780559669854,55.10247256477372,1022.9206998345552,5.770642628694855,1001.453569781981,28.215745675495317,9.174868928414812,2.4649766333199192
13,2023-01-14,25.30892798388087,57.397718108481236,1022.6220547846227,4.797805166772152,1053.9435875895051,29.235060857023388,8.55175750356166,0.0
14,2023-01-15,25.665020040456746,58.202808020709874,1021.1297093859725,4.999769386184951,1057.1027404356246,29.7384223914207,5.5625156526331585,1.9090969255691737
15,2023-01-16,26.994669853796065,55.05117744679504,1024.3949618238264,5.747594615547596,1113.5269308634704,29.641604539314965,8.679602031869745,4.0217785236785115
16,2023-01-17,26.710386011051742,57.018340523428286,1022.7712195060999,6.286701440545216,1004.0086889225734,28.445863904738964,6.375494407795622,1.8838383396351863
17,2023-01-18,28.202915049010013,54.38777661078835,1024.299939402517,5.755540217675778,1052.580868212183,29.346828394869394,8.195539234973532,2.5453062225444896
18,2023-01-19,27.14523590142992,55.20434644330115,1021.3685864148248,5.454122980128649,960.9305099023267,27.147536929576262,6.704809868214943,1.2189325990787576
19,2023-01-20,26.804641305526737,53.78435715354019,1022.1664757910113,5.643034704084083,1016.469270807491,28.498729075110663,9.988361316323296,0.0
20,2023-01-21,29.845322938505696,53.23087203852535,1025.3983595972072,5.05073096693197,1146.7349842990861,31.4494284267809,6.31775739748389,0.7997149903560701
